block_number,sender,to,amount0,amount1
23789013,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xB2b02235f415Af769A4D93c697C09424F8a8B3cC,207438444844637582,784003936742036266230
23789402,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xB2b02235f415Af769A4D93c697C09424F8a8B3cC,210909874864936299,770195804400792067180
23792296,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x7BedcD4f3655e093781418F9c2943e0e2Bd46F1f,174528391846462906,595084070838925599926
23792352,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xd1cBd75d6217637655fc16c6321C967Db5AeDa4e,108175675297353861,368843261206063605560
23797978,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x30E99f876D3593265CDf8fBB02193216642d8C44,23029538873880049,75426703097402593045
23820916,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xEb06301D471b0F8C8C5CC965B09Ce0B85021D398,16163587353185638,48083821247368058081
23822327,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xb89CBA04266D1EF91C42cbE7d90EF60E79Ca9FFC,10826635331632310,32182893852871223927
23822643,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xc3297c34F0d82E4C78B62455573A06AFa5F5F48D,3223202561292522,9586397541638338700
23823197,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x630098B792120d38dF22ecE88378d0676A3ce48c,127705708993083263,383420377344230367314
23824158,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x585a003aA0b446C0F9baD7b3b0BAc5A809988588,451820262350743700,1353687180796116628752
23830613,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xD34CAdd64DBb8c4D0cA9cAfCe279E9895e890196,534386967763866314,1610729880993547976924
23831021,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x024713784f675dd28b5CE07dB91a4d47213c2394,89687607281550382,270408268849057149787
23839540,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xEc8c50223E785C3Ff21fd9F9ABafAcfB1e2215FC,4300280165340490258,13106891294105838960129
23860140,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x80057Cb5B18DEcACF366Ef43b5032440f5C97490,30970901855316984,96116983767735109525
23869214,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x30E99f876D3593265CDf8fBB02193216642d8C44,36223805021755734,113126557825812255904
23873013,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xE04DE279a00C1E17a54f7a743355125DDc31D185,2685491584500215616,8596557678950647535123
23880348,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x9A1A0fbC45Cf311C595F4d50b5608B9a8C5c3C92,2953325728605718,10359255823362582533
23912932,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x9f088F84961BB3cB875cb8486E5BBe6c8F79fF67,64592262597681795,219253327972445494529
23956148,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x7c6e4C1eFb965cE03d199988F756dD69f2bf7875,135359445634571852,441199833607110837488
23956830,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xCDCaDF2195c1376f59808028eA21630B361Ba9b8,124873275384651925,405287311290282131572
23985737,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x14df5677aa90eC0D64c631621DaD80b44f9DeAFF,545789775784839587,1827800253560267683054
24018147,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x04bfcB7b6bc81361F14c1E2C7592d712e3b9f456,663388336204256443,2210436845526386654836
24018878,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x280b8503E2927060120391baf51733E357B190eb,184373626611883120,614340402694007866595
24099279,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x37cec7bBFeCbB924Bb54e138312eB82Fee07b05d,148140470754082557,495491759876782108766
24115454,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0x4Ae6155789d8D8CDA7bFaC23d9D5AdD2253d3171,159593059877542146,535287884730079187965
24153348,0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,0xA54d34374d4FEb2583BE4A7278e875Fd773764Fa,116090617802955152,383576729915004360369
