0,1
Tether USD (USDT),0xdAC17F958D2ee523a2206206994597C13D831ec7
BNB (BNB),0xB8c77482e45F1F44dE1745F52C74426C631bDD52
USD Coin (USDC),0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48
HEX (HEX),0x2b591e99afE9f32eAA6214f7B7629768c40Eeb39
Binance USD (BUSD),0x4Fabb145d64652a948d72533023f6E7A623C7C53
Wrapped BTC (WBTC),0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599
stETH (stETH),0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84
Wrapped liquid staked Ether 2.0 (wstETH),0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0
Dai Stablecoin (DAI),0x6B175474E89094C44Da98b954EedeAC495271d0F
SHIBA INU (SHIB),0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE
Wrapped UST Token (UST),0xa47c8bf37f92aBed4A126BDA807A7b7498661acD
Theta Token (THETA),0x3883f5e181fccaF8410FA61e12b59BAd963fb645
Bitfinex LEO Token (LEO),0x2AF5D2aD76741191D15Dfe7bF6aC92d4Bd912Ca3
Cronos Coin (CRO),0xA0b73E1Ff0B80914AB6fe0444E65848C4C34450b
Matic Token (MATIC),0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0
ChainLink Token (LINK),0x514910771AF9Ca656af840dff83E8264EcF986CA
OKB (OKB),0x75231F58b43240C9718Dd58B4967c5114342a86c
Uniswap (UNI),0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984
Frax (FRAX),0x853d955aCEf822Db058eb8505911ED77F175b99e
Magic Internet Money (MIM),0x99D8a9C45b2ecA8864373A26D1459e3Dff1e17F3
VeChain (VEN),0xD850942eF8811f2A866692A623011bDE52a462C1
Wrapped LUNA Token (LUNA),0xd2877702675e6cEb975b4A1dFf9fb7BAF4C91ea9
Wrapped Filecoin (WFIL),0x6e1A19F235bE7ED8E3369eF73b196C07257494DE
SAND (SAND),0x3845badAde8e6dFF049820680d1F14bD3903a5d0
TrueUSD (TUSD),0x0000000000085d4780B73119b644AE5ecd22b376
Chain (XCN),0xA2cd3D43c775978A96BdBf12d733D5A1ED94fb18
Huobi BTC (HBTC),0x0316EB71485b0Ab14103307bf65a021042c6d380
Wrapped Decentraland MANA (wMANA),0xFd09Cf7cFffa9932e33668311C4777Cb9db3c9Be
HuobiToken (HT),0x6f259637dcD74C767781E37Bc6133cd6A68aa161
Maker (MKR),0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2
KuCoin Token (KCS),0xf34960d9d60be18cC1D5Afc1A6F012A723a28811
Pax Dollar (USDP),0x8E870D67F660D95d5be530380D0eC0bd388289E1
BitTorrent (BTT),0xC669928185DbCE49d2230CC9B0979BE6DC797957
Graph Token (GRT),0xc944E90C64B2c07662A292be6244BDf05Cda44a7
BitDAO (BIT),0x1A4b46696b2bB4794Eb3D4c26f1c55F9170fa4C5
Pax Dollar (USDP),0x8E870D67F660D95d5be530380D0eC0bd388289E1
BitTorrent (BTT),0xC669928185DbCE49d2230CC9B0979BE6DC797957
Compound Dai (cDAI),0x5d3a536E4D6DbD6114cc1Ead35777bAB948E3643
Graph Token (GRT),0xc944E90C64B2c07662A292be6244BDf05Cda44a7
BitDAO (BIT),0x1A4b46696b2bB4794Eb3D4c26f1c55F9170fa4C5
Quant (QNT),0x4a220E6096B25EADb88358cb44068A3248254675
Nexo (NEXO),0xB62132e35a6c13ee1EE0f84dC5d40bad8d815206
Compound USDT (cUSDT),0xf650C3d88D12dB855b8bf7D11Be6C55A4e07dCC9
Wrapped Celo (wCELO),0xE452E6Ea2dDeB012e20dB73bf5d3863A3Ac8d77a
Fantom Token (FTM),0x4E15361FD6b4BB609Fa63C81A2be19d873717870
Frax Share (FXS),0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0
Paxos Gold (PAXG),0x45804880De22913dAFE09f4980848ECE6EcbAf78
Zilliqa (ZIL),0x05f4a42e251f2d52b8ed15E9FEdAacFcEF1FAD27
Gnosis (GNO),0x6810e776880C02933D47DB1b9fc05908e5386b96
Synthetix Network Token (SNX),0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F
