block_number,owner,tickLower,tickUpper,amount,amount0,amount1,timestamps
24227483,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-161200,184200,2236053415032662602380,99999999999999999998159,49292522917002705089,1643291017
24230092,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-53000,65000,16352928249850000734127049,196794264149178122288607073,199000000000000000000000,1643296402
24230732,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-59800,-46000,9620558523380195858435020,39394971176610476770262008,200000000000000000000000,1643297850
24231843,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-65400,-51400,3104404130414431050391,17641799187452589536113,47588334600465017340,1643300140
24231979,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-65400,-51400,3681825426664089227377,23276158627732238199863,49965445700093785503,1643300420
24232270,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-70000,138200,2980926342606155646615,59251538660442300661804,59930011073241507512,1643301308
24232313,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-65400,-51400,5124874393718003507912,34931283970308042691305,62978206988635014997,1643301480
24234078,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-887200,887200,547581744416999235129366,10429270656534143840847551,28750406111179460443545,1643305390
24234212,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-70000,138200,2201365179128205620195,41599049441934425638081,50000000000000000000,1643305666
24234274,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-887200,887200,755861937696805191855346,14316821829363028973844966,39906012358623309527617,1643305794
24234288,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-70000,138200,2561756616051403257856,48475729207727010657967,58000000000000000000,1643305822
24234412,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-887200,887200,2248033047049113758584662,42113771505207690904651604,120000000000000000000000,1643306078
24234679,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-65400,-51400,1038534729842457482973,4566268585060941312256,20000000000000000000,1643306628
24236387,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-57800,-57400,392039486645774980737,139653204273108834967,0,1643310487
24236552,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-58000,-57800,1269236695168705765835,132079952135844469488,296216480508367104,1643310885
24236961,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-58400,-58000,23349709267901149747859,8570985363882383878202,0,1643311727
24237101,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-60000,-57400,7191265143265810353970,8361727660165865849352,24484363362089046201,1643312015
24237265,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-65600,-51800,145527186313845294441,799999999999999999738,2253572117632262541,1643312355
24240744,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-78000,-52400,3212076503462869232507,18403656434787555202476,100000000000000000000,1643319795
24241207,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-64400,-58200,292022573895417608177,453348303543112421847,3000000000000000000,1643320749
24241952,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-60400,-59600,23709663469031706341472,17752188304527675107087,3091200855323452215,1643322415
24242415,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-62200,-60000,8682935296905858561943,9740944470132140056750,22160508097267933874,1643323369
24242526,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-62200,-60000,3592426287696102102825,4003578328552387455230,9227699414833032126,1643323599
24244732,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-78000,-52400,1178172929167123346040,5903747567209539632168,39000000000000000000,1643328407
24245103,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-78000,-52400,997065687831218351104,4999999999999999999908,32994245308297932869,1643329173
24245194,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-887200,887200,338440695579175334056,6299999999999999999982,18181286416526354030,1643329363
24245463,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-78000,-52400,4936029872008766931753,22469432503852645279644,170000000000000000000,1643329924
24245592,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-887200,887200,279959120660551033890,4999999999999999999735,15675421848205794538,1643330190
24245895,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-57200,-46600,15184589935856557761449,99898226376788079935926,31132695241991860629,1643330816
24245944,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-887200,887200,2658507747740480358257,44999999999999999999859,157059187662136923131,1643330914
24246096,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-57200,-46600,8453632458465190443884,49999999999999999999570,37909291405293405848,1643331230
24246743,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-887200,887200,1688667977626074879141,26825959912132998364428,106300000000000000000,1643332564
24246874,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-56200,-54400,9339037675223926204978,5245089648214341809353,31000000000000000000,1643332834
