token_address,label
0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,0
0x53E0bca35eC356BD5ddDFebbD1Fc0fD03FaBad39,0
0xb33EaAd8d922B1083446DC23f610c2567fB5180f,0
0xBbba073C31bF03b8ACf7c28EF0738DeCF3695683,0
0xA1c57f48F0Deb89f569dFbE6E2B7f46D33606fD4,0
0x45c32fA6DF82ead1e2EF74d17b76547EDdFaFF89,0
0x5fe2B58c013d7601147DcdD68C143A77499f5531,0
0xD6DF932A45C0f255f85145f286eA0b292B21C90B,0
0x6f7C932e7684666C9fd1d44527765433e01fF61d,0
0x2e1AD108fF1D8C782fcBbB89AAd783aC49586756,0
0x50B728D8D964fd00C2d0AAD81718b71311feF68a,0
0x0621d647cecbFb64b79E44302c1933cB4f27054d,0
0x172370d5Cd63279eFa6d502DAB29171933a610AF,0
0x8505b9d2254A7Ae468c0E9dd10Ccea3A837aef5c,0
0x0b3F868E0BE5597D5DB7fEB59E1CADBb0fdDa50a,0
0xDA537104D6A5edd53c6fBba9A898708E465260b6,0
0xc26D47d5c33aC71AC5CF9F776D63Ba292a4F7842,0
0xE0339c80fFDE91F3e20494Df88d4206D86024cdF,0
0xf8F9efC0db77d8881500bb06FF5D6ABc3070E695,0
0x1C954E8fe737F99f68Fa1CCda3e51ebDB291948C,0
0x61299774020dA444Af134c82fa83E3810b309991,0
0x0B220b82F3eA3B7F6d9A1D8ab58930C064A2b5Bf,0
0xa3Fa99A148fA48D14Ed51d610c367C61876997F1,0
0x9a71012B13CA4d3D0Cdc72A177DF3ef03b0E76A3,0
0xE111178A87A3BFf0c8d18DECBa5798827539Ae99,0
0x385Eeac5cB85A38A9a07A70c73e0a3271CfB54A7,0
0xef938b6da8576a896f6E0321ef80996F4890f9c4,0
0x4e78011Ce80ee02d2c3e649Fb657E45898257815,0
0xE5417Af564e4bFDA1c483642db72007871397896,0
0x831753DD7087CaC61aB5644b308642cc1c33Dc13,0
0x580A84C73811E1839F75d86d75d88cCa0c241fF4,0
0x1631244689EC1fEcbDD22fb5916E920dFC9b8D30,0
